Name_of_class,Keywords_from_description
'extraction and agglomeration of peat',"['service activities incidental', ""description =' extraction"", ""see 2399 '>"", 'see 0990', 'record n', 'class excludes', 'peat mining', 'peat', 'peat', 'manufacture', 'articles', 'agglomeration']"
'extraction of salt',"[""description =' extraction"", ""see 3600 '>"", 'potable water production', 'see 1079', 'saline water', 'record n', 'class excludes', 'iodized salt', 'grade salt', 'salt', 'salt', 'processing', 'g', 'food', 'evaporation', 'e']"
'other mining and quarrying n.e.c.',"['record n', 'quarrying n', ""description ='"", 'mining', 'e', 'c', ""'>""]"
'Support activities for petroleum and natural gas mining',"[""description =' support activities"", 'service activities performed', ""see 7110 '>"", 'see 3312 liquefaction', 'natural gas mining', 'natural gas', 'see 5221', 'see 0610', 'mining machinery', 'gas fields', 'specialized repair', 'seismic surveying', 'record n', 'mine site', 'class excludes', 'transport', 'regasification', 'purpose', 'petroleum', 'operators', 'oil', 'geophysical', 'geologic', 'done', '620']"
'Support activities for other mining and quarrying',"[""description =' support activities"", 'class includes support services', 'traditional prospecting methods', 'taking core samples', 'making geological observations', 'geophysical surveying services', ""see 7110 '>"", 'test hole boring', 'see division 05', 'class excludes', 'pumping services', 'exploration services', 'mining activities', 'see 3312', 'test drilling', 'divisions 05', 'specialized repair', 'record n', 'prospective sites', 'operating mines', 'mining machinery', 'fee basis', 'fee basis', 'contract basis', 'contract basis', 'mining', 'fee', 'fee', 'contract', 'contract', 'required', 'quarrying', 'quarries', 'g', 'e', 'draining', '08', '08', '07', '07']"
'processing and preserving of meat',"['class includes non edible', ""description =' processing"", ""see 8292 '>"", 'soup containing meat', 'prepared frozen meat', 'class excludes', 'see 4630', 'see 1079', 'see 1075', 'wholesale trade', 'record n', 'poultry dishes', 'meat', 'meat', 'meat', 'products', 'preserving', 'packaging', 'manufacture', 'manufacture']"
"'Processing and preserving of fish, crustaceans and molluscs and'","['prepared frozen fish dishes', ""see 1079 '>"", ""description =' processing"", 'fish soups', 'see 1075', 'see 1040', 'see 1010', 'specialized vessels', 'record n', 'products thereof', 'marine material', 'class excludes', 'fish', 'processing', 'whales', 'production', 'preserving', 'oils', 'molluscs', 'manufacture', 'manufacture', 'land', 'fats', 'crustaceans']"
'processing and preserving of fruit and vegetables',"['prepared vegetable dishes', ""description =' processing"", ""see 1079 '>"", 'dried leguminous vegetables', 'see 1075', 'see 1073', 'see 1061', 'record n', 'class excludes', 'artificial concentrates', 'vegetables', 'sugar', 'preserving', 'preservation', 'nuts', 'meal', 'manufacture', 'manufacture', 'manufacture', 'fruit', 'fruit', 'flour']"
'manufacture of vegetable and animal oils and fats',"['wet corn milling', ""description =' manufacture"", ""see 2029 '>"", 'edible animal fats', 'see 2029', 'animal oils', 'see 1062', 'see 1010', 'record n', 'essential oils', 'class excludes', 'chemical processes', 'fats', 'fats', 'vegetable', 'treatment', 'rendering', 'refining', 'production', 'oil', 'lard']"
'manufacture of dairy products',"['cattle ), see 0141', '), see 0144', '), see 0143', ""see 5610 '>"", 'ice cream parlours', ""description =' manufacture"", 'see 1079', 'record n', 'raw milk', 'raw milk', 'raw milk', 'dairy products', 'dairy milk', 'class excludes', 'cheese substitutes', 'manufacture', 'sheep', 'production', 'production', 'production', 'non', 'horses', 'goats', 'etc', 'etc', 'camels', 'asses', 'activities']"
'manufacture of grain mill products',"['wet corn milling', 'grain mill products', ""see 1062 '>"", ""description =' manufacture"", 'see 1030', 'record n', 'potato flour', 'class excludes', 'manufacture', 'meal']"
'manufacture of starches and starch products',"['milk sugar ), see 1050', ""see 1072 '>"", ""description =' manufacture"", 'beet sugar', 'starch products', 'record n', 'class excludes', 'manufacture', 'starches', 'production', 'lactose', 'cane']"
'manufacture of bakery products',"[""see division 56 '>"", 'pastas ), see 1074', ""description =' manufacture"", 'see 1030', 'record n', 'potato snacks', 'immediate consumption', 'farinaceous products', 'class excludes', 'bakery products', 'bakery items', 'manufacture', 'manufacture', 'heating']"
'manufacture of sugar',"[""see 1062 '>"", ""description =' manufacture"", 'record n', 'class excludes', 'glucose syrup', 'manufacture', 'glucose', 'sugar', 'maltose']"
"'manufacture of cocoa, chocolate and sugar confectionery'","[""see 1072 '>"", ""description =' manufacture"", 'sugar confectionery', 'sucrose sugar', 'record n', 'class excludes', 'manufacture', 'cocoa', 'chocolate']"
"'manufacture of macaroni, noodles, couscous and similar farinaceous'","['soup containing pasta', 'similar farinaceous products', ""see 1079 '>"", 'frozen pasta products', ""description =' manufacture"", 'class includes manufacture', 'class excludes', 'record n', 'manufacture', 'manufacture', 'manufacture', 'whether', 'stuffed', 'pastas', 'noodles', 'noodles', 'macaroni', 'macaroni', 'couscous', 'couscous', 'cooked', 'canned']"
