Name_of_class,Keywords_from_description
"'manufacture of bearings, gears, gearing and driving elements'","['power transmission equipment identifiable', 'mechanical power transmission equipment', 'power transmission chain', 'see divisions 29', 'articulated link chain', ""description =' manufacture"", 'see 2930 manufacture', 'class includes manufacture', 'see 2599', 'class excludes', 'speed changers', 'shaft couplings', 'record n', 'gear boxes', 'driving elements', ""30 '>"", 'roller bearings', 'parts thereof', 'chain', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'parts', 'bearings', 'vehicles', 'sub', 'pulleys', 'gears', 'gears', 'gearing', 'gearing', 'flywheels', 'electromagnetic', 'clutches', 'clutches', 'ball', 'assemblies', 'aircraft']"
"'manufacture of ovens, furnaces and furnace burners'","['permanent mount electric space heaters', 'electric household forced air furnaces', 'electric swimming pool heaters', 'electric forced air furnaces', 'electric household heating equipment', 'permanent mount non', 'industrial laboratory furnaces', 'ash dischargers etc', ""see 3250 '>"", ""description =' manufacture"", 'electric household', 'class includes manufacture', 'see 2825 manufacture', 'heating equipment', 'laboratory furnaces', 'see 3250', 'see 2825', 'household ovens', 'type furnaces', 'similar furnaces', 'steam heating', 'solar heating', 'class excludes', '), non', 'see 2829', 'see 2750', 'laboratory sterilizers', 'record n', 'oil heat', 'mechanical stokers', 'including incinerators', 'heat pumps', 'furnace burners', 'manufacture burners', 'paper pulp', 'bakery ovens', 'agricultural dryers', 'furnaces', 'etc', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'paper', 'ovens', 'ovens', 'dryers', 'wood', 'surgical', 'paperboard', 'medical', 'grates', 'electrical', 'dental']"
'manufacture of lifting and handling equipment',"[""see 4329 '>"", ""description =' manufacture"", 'see 2824 manufacture', 'see 2824', 'see 3011', 'see 2829', 'underground use', 'shovel loaders', 'record n', 'railway cranes', 'multiple uses', 'mechanical shovels', 'industrial robots', 'handling equipment', 'floating cranes', 'class excludes', 'action elevators', 'manufacture', 'manufacture', 'manufacture', 'elevators', 'lorries', 'lifts', 'lifting', 'installation', 'excavators', 'crane', 'conveyors', 'continuous', '3020']"
'Manufacture of office machinery and equipment',"['tape binding ), manufacture', ""see 2620 '>"", 'type binding equipment', 'mail handling machines', 'cheque writing machines', 'coin wrapping machinery', ""description =' manufacture"", 'class includes manufacture', 'tape dispensers', 'coin counting', 'class excludes', 'collating machinery', 'voting machines', 'stenography machines', 'photocopy machines', 'dictating machines', 'calculating machines', 'adding machines', 'white boards', 'toner cartridges', 'staple removers', 'record n', 'postage meters', 'peripheral equipment', 'pencil sharpeners', 'mechanically operated', 'marker boards', 'hole punches', 'cash registers', 'cash registers', 'office machinery', 'equipment', 'office', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'typewriters', 'staplers', 'plastic', 'electronic', 'e', 'computers', 'calculators', 'blackboards']"
'manufacture of power-driven hand tools',"[""driven hand tools '>"", ""description =' manufacture"", 'record n', 'power']"
'manufacture of other general-purpose machinery',"['commercial clothes dryers', 'textile printing machinery', 'glass rolling machinery', 'agricultural spraying machinery', ""see 2826 '>"", ""description =' manufacture"", 'see 2821 manufacture', 'agricultural dryers', 'see 2826', 'purpose machinery', 'see 2825', 'see 2825', 'see 2823', 'see 2790', 'see 2750', 'see 2750', 'see 2651', 'soldering equipment', 'record n', 'purifying food', 'freezing equipment', 'electrical welding', 'domestic refrigerating', 'domestic fans', 'cylinders thereof', 'cream separators', 'class excludes', '2829 manufacture', 'machinery', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'type', 'sensitive', 'metal', 'laboratory', 'general', 'filtering', 'balances']"
'manufacture of agricultural and forestry machinery',"['driven agricultural hand tools', 'driven hand tools', 'dried leguminous vegetables', ""see 2920 '>"", ""description =' manufacture"", 'see 2825 manufacture', 'see 2825', 'see 2910', 'see 2818', 'see 2816', 'see 2593', 'road tractors', 'record n', 'grade seed', 'farm use', 'cream separators', 'class excludes', 'forestry machinery', 'road trailers', 'agricultural', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'machinery', 'trailers', 'trailers', 'sort', 'semi', 'semi', 'power', 'power', 'non', 'grain', 'conveyors', 'clean']"
'manufacture of metal-forming machinery and machine tools',"['electric hand held soldering irons', '), see 2593 manufacture', 'cutting knives etc', ""see 2824 '>"", 'driven hand tools', ""description =' manufacture"", 'soldering guns', 'hand tools', 'see 2823', 'see 2818', 'see 2790', 'turning tools', 'machine tools', 'machine tools', 'interchangeable tools', 'saw blades', 'record n', 'milling cutters', 'class excludes', 'machinery used', 'forming machinery', 'metal mills', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'machinery', 'metal', 'taps', 'quarrying', 'punches', 'power', 'mining', 'foundries', 'drills', 'dies']"
'manufacture of machinery for metallurgy',"['except ingot moulds ), see 2593', 'casting machines ), manufacture', ""see 2829 '>"", 'see 2822 manufacture', 'handling hot metals', 'forming foundry moulds', ""description =' manufacture"", 'class includes manufacture', 'ingot moulds', 'class excludes', 'record n', 'moulding boxes', 'rolling mills', 'moulds', 'manufacture', 'manufacture', 'machines', 'machines', 'mills', 'rolls', 'metallurgy', 'metal', 'machinery', 'ladles', 'equipment', 'draw', 'converters', 'benches']"
"'manufacture of machinery for mining, quarrying and construction'","[""see 2910 '>"", ""description =' manufacture"", 'see 2822', 'see 2821', 'see 2816', '2910 manufacture', 'working stone', 'record n', 'mixer lorries', 'machine tools', 'including machines', 'handling equipment', 'clearing stone', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'tractors', 'splitting', 'quarrying', 'mining', 'machinery', 'lifting', 'construction', 'concrete']"
"'manufacture of machinery for food, beverage and tobacco processing'","[""dried leguminous vegetables ), see 2821 '>"", 'see 2819 manufacture', 'milk irradiation equipment', ""description =' manufacture"", 'see 2660', 'tobacco processing', 'record n', 'except seeds', 'class excludes', 'weighing machinery', 'grading machinery', 'manufacture', 'manufacture', 'machinery', 'wrapping', 'sorting', 'packing', 'grains', 'fruit', 'food', 'food', 'eggs', 'crops', 'cleaning', 'beverage']"
"'manufacture of machinery for textile, apparel and leather production'","[""see 2829 '>"", ""description =' manufacture"", 'see 2819', 'see 2750', 'see 1709', 'record n', 'paperboard cards', 'machines used', 'leather production', 'jacquard machines', 'drying machines', 'domestic washing', 'class excludes', 'calendering machines', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'use', 'textile', 'paper', 'machinery', 'bookbinding', 'apparel']"
'manufacture of other special-purpose machinery',"['photocopy machines etc ., see 2817 manufacture', ""see 2823 '>"", ""description =' manufacture"", 'work hard rubber', 'see 2822', 'see 2750', 'hard plastics', 'record n', 'ingot moulds', 'household appliances', 'cold glass', 'class excludes', 'purpose machinery', 'manufacture', 'manufacture', 'manufacture', 'machinery', 'special', 'equipment']"
' manufacture of motor vehicles',"['road dumping trucks', 'military fighting vehicles', ""see 4520 '>"", ""description =' manufacture"", 'motor vehicles', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'see 3040', 'see 2930', 'see 2930', 'see 2920', 'see 2824', 'see 2824', 'see 2821', 'see 2811', 'see 2740', 'tractors used', 'record n', 'piston rings', 'lighting equipment', 'class excludes', 'agricultural tractors', 'electrical parts', 'parts', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'tanks', 'repair', 'pistons', 'mining', 'maintenance', 'construction', 'carburetors', 'bodies', 'alteration', 'accessories']"
' manufacture of parts and accessories for motor vehicles',"[""see 4520 '>"", ""description =' manufacture"", 'see 2219 manufacture', 'see 2211 manufacture', 'see 2813', 'see 2811', 'see 2740', 'see 2720', 'see 2220', 'rubber products', 'rubber products', 'rubber hoses', 'rubber hoses', 'record n', 'piston rings', 'lighting equipment', 'class excludes', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'vehicles', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'tyres', 'repair', 'pumps', 'pistons', 'parts', 'maintenance', 'engines', 'carburetors', 'belts', 'belts', 'batteries', 'alteration', 'accessories']"
'Building of ships and floating structures',"['see 2599 ‚ ä ¢ manufacture', 'see 2599 ‚ ä ¢ manufacture', 'see 1322 ‚ ä ¢ manufacture', '‚ ä ¢ manufacture', 'see 3012 specialized repair', 'ships ‚ äô propellers', ""see 4330 '>"", 'major hull assemblies', ""description =' building"", 'amphibious motor vehicles', 'see 3830', 'see 3315', 'see 2910', 'see 2811', 'see 2740', 'see 2651', 'steel anchors', 'record n', 'navigational instruments', 'marine engines', 'lighting equipment', 'interior installation', 'floating structures', 'floating structures', 'class excludes', 'inflatable boats', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'ships', 'ships', 'ships', 'boats', 'vessels', 'ship', 'sails', 'recreation', 'rafts', 'parts', 'maintenance', 'iron', 'breaking']"
'building of pleasure and sporting boats',"['see 2599 ‚ ä ¢ manufacture', 'see 1322 ‚ ä ¢ manufacture', '‚ ä ¢ manufacture', ""see 3315 '>"", 'without auxiliary motor', ""description =' building"", 'see 3230', 'see 2811', 'motor boats', 'type hovercraft', 'steel anchors', 'sporting boats', 'sporting boats', 'sporting boats', 'rowing boats', 'record n', 'personal watercraft', 'marine engines', 'inflatable boats', 'class includes', 'class excludes', 'pleasure boats', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'building', 'building', 'building', 'pleasure', 'pleasure', 'pleasure', 'surfboards', 'skiffs', 'sails', 'sailboats', 'sailboards', 'repair', 'recreation', 'rafts', 'parts', 'maintenance', 'kayaks', 'iron', 'canoes', 'alteration']"
'manufacture of railway locomotives and rolling stock',"['assembled railway track fixtures', ""see 2811 '>"", ""description =' manufacture"", 'railway locomotives', 'see 2790', 'see 2710', 'see 2599', 'see 2410', 'unassembled rails', 'rolling stock', 'record n', 'electrical signalling', 'electric motors', 'control equipment', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'turbines', 'traffic', 'safety', 'engines']"
'manufacture of air and spacecraft and related machinery',"['internal combustion engines', ""see 2829 '>"", 'aircraft launching gear', 'aircraft carrier catapults', 'air navigation systems', ""description =' manufacture"", 'see 2811 manufacture', 'see 2740 manufacture', 'see 2630 manufacture', 'see 2790', 'see 2651', 'see 2651', 'see 2520', 'see 1322', 'aircraft instrumentation', 'telecommunication equipment', 'related machinery', 'related equipment', 'record n', 'piston rings', 'military ordinance', 'lighting equipment', 'ignition parts', 'electrical parts', 'class excludes', 'aeronautical instruments', 'aircraft', 'air', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'spacecraft', 'satellites', 'pistons', 'parachutes', 'carburetors', 'ammunition']"
'manufacture of weapons and ammunition',"['projected firing pistols etc', ""see 2520 '>"", 'fire blank cartridges', 'class includes tanks', 'light machine guns', ""description =' manufacture"", 'class excludes', 'mobile guns', 'gas guns', 'small arms', 'signal flares', 'record n', 'captive bolts', 'heavy weapons', 'pistols', 'manufacture', 'weapons', 'weapons', 'vehicles', 'rifles', 'non', 'firearms', 'artillery', 'ammunitions', 'ammunition', 'air']"
'manufacture of motorcycles',"[""see 3092 '>"", ""description =' manufacture"", 'see 3092', 'record n', 'invalid carriages', 'class excludes', 'manufacture', 'manufacture', 'motorcycles', 'bicycles']"
'manufacture of bicycles and invalid carriages',"['see 3091 nan bicycles', ""see 3240 '>"", ""description =' manufacture"", 'record n', 'invalid carriages', 'class excludes', 'auxiliary motor', 'manufacture', 'bicycles', 'bicycles', 'tricycles']"
'manufacture of other transport equipment n.e.c.',"['wheelbarrows ), see 2816', ""see 3100 '>"", ""description =' manufacture"", 'decorative restaurant carts', 'including hand trucks', 'transport equipment n', 'works trucks', 'record n', 'handling equipment', 'type used', 'food wagons', 'desert cart', 'class excludes', 'whether', 'whether', 'self', 'propelled', 'lifting', 'fitted', 'factories', 'e', 'c']"
'manufacture of furniture',"['laboratory equipment furniture installation', 'inflatable rubber mattresses', ""see 4330 '>"", 'modular furniture attachment', ""description =' manufacture"", 'class includes manufacture', 'class excludes', 'partition installation', 'see 2930', 'see 2817', 'see 2740', 'see 2393', 'see 2219', 'see 1322', 'various purposes', 'record n', 'railway seats', 'lighting fittings', 'car seats', 'aircraft seats', 'except stone', 'installation', 'furniture', 'furniture', 'furniture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'stone', 'quilts', 'pouffes', 'place', 'pillows', 'material', 'lamps', 'kind', 'eiderdowns', 'cushions', 'concrete', 'concrete', 'ceramics', 'ceramic', 'blackboards', '3030', '3020', '2396', '2395']"
'manufacture of jewellery and related articles',"['except imitation jewellery ), see division 25', '), see 1512', ""see 3212 '>"", 'base metal plated', 'metal watch bands', 'metal watch bands', 'imitation jewellery', ""description =' manufacture"", 'see 3212', 'see 2652', 'watch cases', 'precious metal', 'record n', 'plastic etc', 'class excludes', 'related articles', 'jewellery', 'precious', 'articles', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'non', 'non', 'leather', 'fabric']"
'manufacture of imitation jewellery and related articles',"['jewellery containing genuine gem stones', 'precious metal watch bands', 'metal watch bands', 'except precious metal', ""see 3211 '>"", ""description =' manufacture"", 'class includes manufacture', 'precious metals', 'precious metals', 'jewellery made', 'imitation jewellery', 'imitation jewellery', 'see 3211', 'see 3211', 'class excludes', 'related articles', 'record n', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'costume', 'clad']"
'manufacture of musical instruments',"['toy musical instruments', 'historic musical instruments', ""see 9529 '>"", ""description =' manufacture"", 'see 1820 manufacture', 'musical instruments', 'see 5920', 'see 3319', 'see 3240', 'see 2640', 'see 2640', 'video tapes', 'video tapes', 'tape recorders', 'similar components', 'recorded sound', 'recorded sound', 'record players', 'record n', 'piano tuning', 'class excludes', 'manufacture', 'manufacture', 'restoring', 'reproduction', 'publishing', 'pre', 'pre', 'organs', 'microphones', 'loudspeakers', 'like', 'headphones', 'discs', 'discs', 'amplifiers']"
'manufacture of sports goods',"[""noise protection ), see 3290 '>"", 'see divisions 29', 'material except apparel', ""description =' manufacture"", 'see 2599 manufacture', 'noise plugs', 'see 3240', 'see 3012', 'see 2520', 'see 1520', 'see 1512', 'see 1512', 'see 1410', 'see 1322', 'sports apparel', 'sports vehicles', 'sports goods', 'sporting weapons', 'riding crops', 'record n', 'metal weights', 'indoor sporting', 'class includes', 'class excludes', 'boat sails', 'billiard tables', 'athletic goods', 'sports footwear', 'footwear', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'whips', 'weightlifting', 'used', 'toboggans', 'swimming', 'saddlery', 'outdoor', 'like', 'harness', 'g', 'ear', 'e', 'boats', 'ammunition', '30']"
'manufacture of games and toys',"['video game consoles', 'video game consoles', ""description =' manufacture"", 'see 5820', 'see 3092', 'see 2640', 'record n', 'class excludes', ""6201 '>"", 'manufacture', 'manufacture', 'writing', 'toys', 'software', 'publishing', 'games', 'bicycles']"
'manufacture of medical and dental instruments and supplies',"[""see 3092 '>"", ""description =' manufacture"", 'record n', 'dental instruments', 'class excludes', 'manufacture', 'wheelchairs', 'supplies', 'medical']"
'other manufacturing n.e.c.',"['uniforms ), see 1410', ""see 1709 '>"", 'see 1329', 'work overalls', 'service apparel', 'record n', 'paper novelties', 'manufacturing n', 'lighter wicks', 'laboratory coats', ""description ='"", 'class excludes', 'workwear', 'manufacture', 'manufacture', 'manufacture', 'g', 'e', 'e', 'c']"
' repair of fabricated metal products',"['central heating systems etc ., see 4322', ""see 8020 '>"", 'fabricated metal products', 'fabricated metal products', ""description =' repair"", 'class includes repair', 'class excludes', 'record n', 'locksmith services', 'division 25', 'repair', 'maintenance']"
' repair of machinery',"['mining machinery ), comprising machinery', ""see 4322 '>"", 'industrial machinery blades', ""description =' repair"", 'materials handling equipment', 'equipment like sharpening', 'class includes repair', 'commercial refrigeration equipment', 'industrial machinery', 'industrial machinery', 'installing commercial', 'class excludes', 'repair services', 'heating equipment', 'construction equipment', 'record n', 'machine tools', 'division 28', 'machinery', 'repair', 'equipment', 'equipment', 'welding', 'saws', 'provision', 'maintenance', 'installation', 'heavy', 'general', 'g', 'g', 'furnaces', 'forklifts', 'e', 'e', 'automotive', 'agricultural']"
'repair of electronic and optical equipment',"[""see 9529 '>"", 'type video cameras', 'considered household goods', ""description =' repair"", 'class includes repair', 'video cameras', 'goods produced', 'class excludes', 'see 9521', 'see 9512', 'see 9512', 'see 9511', 'see 9511', 'see 3312', 'record n', 'photocopy machines', 'peripheral equipment', 'optical equipment', 'groups 265', 'computer projectors', 'communication equipment', 'commercial tv', 'household', 'repair', 'repair', 'repair', 'repair', 'repair', 'repair', 'repair', 'watches', 'maintenance', 'maintenance', 'maintenance', 'except', 'electronic', 'computers', 'clocks', '267', '266']"
'repair of electrical equipment',"['peripheral computer equipment', ""see 9529 '>"", ""description =' repair"", 'telecommunications equipment', 'electrical equipment', 'see 9521', 'see 9512', 'see 9511', 'record n', 'domestic appliances', 'division 27', 'consumer electronics', 'class includes', 'class excludes', 'class 2750', 'repair', 'repair', 'repair', 'repair', 'repair', 'watches', 'maintenance', 'maintenance', 'maintenance', 'maintenance', 'goods', 'except', 'computers', 'clocks']"
"'repair of transport equipment, except motor vehicles'","['except motor vehicles', ""see 9529 '>"", ""description =' repair"", 'see 4540', 'see 3830', 'see 3030', 'see 3020', 'see 3010', 'transport equipment', 'transport equipment', 'ship scaling', 'record n', 'railroad cars', 'railroad cars', 'factory rebuilding', 'factory rebuilding', 'factory rebuilding', 'factory rebuilding', 'except motorcycles', 'division 30', 'division 30', 'class includes', 'class excludes', 'repair', 'repair', 'repair', 'motorcycles', 'ships', 'ships', 'overhaul', 'maintenance', 'maintenance', 'locomotives', 'locomotives', 'however', 'dismantling', 'classified', 'bicycles', 'bicycles', 'aircraft', 'aircraft']"
'repair of other equipment',"['fishing nets including mending', 'chemical storage bags reconditioning', 'musical instruments etc', 'office type furniture', ""see 9529 '>"", ""description =' repair"", 'see 9529', 'furniture restoration', 'see 9524', 'wooden pallets', 'similar items', 'shipping drums', 'record n', 'operated games', 'class includes', 'class excludes', 'repair', 'repair', 'repair', 'repair', 'repair', 'repair', 'tarps', 'ropes', 'riggings', 'organs', 'maintenance', 'household', 'groups', 'fertilizer', 'equipment', 'equipment', 'division', 'covered', 'coin', 'clothing', 'canvas', 'bicycles', 'barrels', 'alteration']"
'installation of industrial machinery and equipment',"['burglar alarm systems', ""description =' installation"", 'conditioning systems', 'similar structures', 'record n', 'integral part', 'electrical wiring', 'class includes', 'specialized installation', 'industrial machinery', 'installation', 'installation', 'machinery', 'however', 'forms', 'escalators', 'equipment', 'equipment', 'construction', 'classified', 'buildings', 'air', ""'>""]"
"'electric power generation, transmission and distribution'","[""description =' electric power generation"", ""see 3821 '>"", 'record n', 'class excludes', 'waste', 'transmission', 'production', 'incineration', 'electricity', 'distribution']"
'manufacture of gas; distribution of gaseous fuels through mains',"['refined petroleum products', ""see 4930 '>"", ""description =' manufacture"", 'see 4799', 'see 4773', 'see 4661', 'see 2011', 'see 1920', 'see 1910', 'retail sale', 'record n', 'gaseous fuels', 'gaseous fuels', 'direct selling', 'coke ovens', 'class excludes', 'industrial gases', 'bottled gas', 'manufacture', 'manufacture', 'gases', 'gas', 'wholesale', 'transportation', 'pipelines', 'operation', 'mains', 'long', 'fuel', 'distribution', 'distance']"
'Steam and air conditioning supply',"[""air conditioning supply '>"", ""description =' steam"", 'record n']"
"'Water collection, treatment and supply'","['similar agricultural support services', ""description =' water collection"", 'class includes water collection', 'water via pipelines', ""see 4930 '>"", 'irrigation services', 'class excludes', 'agricultural purposes', 'waste water', 'see 3700', 'see 0161', 'various sources', 'various means', 'record n', 'prevent pollution', 'irrigation equipment', 'irrigation canals', 'industrial needs', 'distribution activities', 'also included', 'collection', 'water', 'distribution', 'included', 'included', 'well', 'treatment', 'treatment', 'treatment', 'transport', 'supply', 'sprinklers', 'provision', 'order', 'operation', 'operation', 'long', 'however', 'domestic', 'distance']"
'Sewerage',"[""description =' sewerage '>"", 'record n']"
'Collection of non-hazardous waste',"['commingled recoverable materials', ""see 3830 '>"", ""description =' collection"", 'see 3821 operation', 'see 3812', 'record n', 'hazardous waste', 'hazardous waste', 'hazardous waste', 'distinct categories', 'class excludes', 'operation', 'collection', 'sorted', 'plastics', 'paper', 'non', 'non', 'landfills', 'facilities', 'etc', 'disposal']"
'Collection of hazardous waste',"['may also entail identification', ""description =' collection"", 'solid hazardous waste', 'hazardous waste', 'record n', 'preparations harmful', 'human health', 'class includes', 'waste', 'solid', 'collection', 'treatment', 'transport', 'toxic', 'substances', 'purposes', 'packaging', 'oxidizing', 'non', 'labeling', 'irritant', 'infectious', 'flammable', 'explosive', 'environment', 'e', 'corrosive', 'carcinogenic', ""'>""]"
'treatment and disposal of non-hazardous waste',"['used beverage cans', 'toxic material abatement', 'commingled recoverable materials', ""see 3900 '>"", 'see 3822 operation', ""description =' treatment"", 'see 3830', 'treatment prior', 'record n', 'hazardous waste', 'hazardous waste', 'hazardous waste', 'distinct categories', 'class includes', 'class excludes', 'solid non', 'treatment', 'solid', 'non', 'non', 'water', 'sorted', 'plastics', 'paper', 'metals', 'land', 'incineration', 'facilities', 'disposal', 'disposal', 'disposal', 'decontamination', 'combustion', 'clean']"
'treatment and disposal of hazardous waste',"['toxic material abatement', ""description =' treatment"", ""see 2011 '>"", 'see 3900', 'see 3821', 'record n', 'nuclear fuels', 'hazardous waste', 'hazardous waste', 'class excludes', 'water', 'reprocessing', 'non', 'land', 'incineration', 'disposal', 'decontamination', 'clean']"
'materials recovery',"['hospitals etc ., see 3822', ""description =' materials recovery"", 'hazardous waste incineration processes', 'see 3821 energy recovery', 'secondary metal raw materials', 'secondary raw material', 'see 3822 dismantling', 'sell usable parts', 'new final products', 'see corresponding classes', ""see 4669 '>"", 'class includes recovery', 'used beverage cans', 'transition radioactive waste', 'eliminate harmful waste', 'see section g', 'see 3822', 'see 3821', 'see 3821', 'hazardous waste', 'see 2011', 'recoverable materials', 'used goods', 'section c', 'organic waste', 'metal waste', 'contaminated waste', 'class excludes', 'also includes', 'spinning yarn', 'retreading tyres', 'record n', 'paper waste', 'nuclear fuels', 'making pulp', 'garnetted stock', 'distinct categories', 'metal scrap', 'materials', 'metal', 'metal', 'scrap', 'paper', 'wholesale', 'whether', 'treatment', 'treatment', 'treatment', 'treatment', 'toxic', 'televisions', 'self', 'reprocessing', 'refrigerators', 'production', 'processing', 'plastics', 'obtain', 'non', 'non', 'non', 'metals', 'manufacturing', 'manufactured', 'manufacture', 'garbage', 'equipment', 'disposal', 'disposal', 'disposal', 'disposal', 'disposal', 'computers', 'automobiles', 'articles']"
'remediation activities and other waste management services',"[""streets etc ., see 8129 '>"", ""description =' remediation activities"", 'waste management services', 'see 3822', 'see 3821', 'control activities', 'hazardous waste', 'hazardous waste', 'specialized pollution', 'record n', 'outdoor sweeping', 'includes cleanup', 'ground water', 'contaminated buildings', 'class excludes', 'watering', 'treatment', 'treatment', 'surface', 'soil', 'sites', 'non', 'disposal', 'disposal']"
'Construction of buildings',"['project management activities related', 'complete prefabricated constructions', 'see divisions 16', ""see 7110tion '>"", ""description =' construction"", 'engineering activities', 'see 7110', 'see 4290', 'record n', 'manufactured parts', 'industrial facilities', 'class excludes', 'except buildings', 'construction', 'construction', 'buildings', 'self', 'erection', 'concrete', 'architectural', '25']"
'Construction roads and railways',"['see 7110 project management activities related', ""description =' construction roads"", ""see 7110 '>"", 'civil engineering works', 'engineering activities', 'see 4321', 'street lighting', 'record n', 'electrical signals', 'class excludes', 'railways', 'installation', 'architectural']"
'Construction of utility projects',"['project management activities related', ""see 7110 '>"", ""description =' construction"", 'civil engineering works', 'utility projects', 'record n', 'class excludes']"
'Construction of other civil engineering projects',"['project management activities related', ""see 7110 '>"", ""description =' construction"", 'civil engineering works', 'civil engineering projects', 'record n', 'class excludes']"
'Demolition',"[""description =' demolition"", 'class includes demolition', ""structures '>"", 'record n', 'wrecking', 'buildings']"
'Site preparation',"[""description =' site preparation"", 'gas field exploration', ""see 7110 '>"", 'water well drilling', 'gas wells', 'see 4390', 'see 4220', 'see 3900', 'see 0610', 'shaft sinking', 'seismic surveying', 'record n', 'class excludes', 'production oil', 'drilling', 'oil', 'soil', 'geophysical', 'geological', 'decontamination', '0620']"
'electrical installation',"[""description =' electrical installation"", ""see 4220 '>"", 'power transmission lines', 'record n', 'class excludes', 'construction', 'communications']"
"'plumbing, heat and air-conditioning installation'","[""see 4321 '>"", 'electric baseboard heating', ""description =' plumbing"", 'record n', 'class excludes', 'conditioning installation', 'installation', 'heat', 'air']"
'other construction installation',"[""see 3320 '>"", 'record n', 'industrial machinery', ""description ='"", 'class excludes', 'construction installation', 'installation']"
'Building completion and finishing',"[""description =' building completion"", 'interior decoration designers', ""see 7410 '>"", 'general interior cleaning', 'specialized interior', 'exterior cleaning', 'see 8129', 'see 8121', 'record n', 'class excludes', 'structures', 'finishing', 'buildings', 'buildings', 'activities']"
'other specialized construction activities',"['class includes construction activities specializing', 'specialized construction activities', ""see 7730 '>"", 'requiring specialized skill', 'outdoor swimming pools', 'one aspect common', 'equipment without operator', 'class excludes', 'similar activities', 'construction machinery', 'subsurface work', 'steam cleaning', 'sand blasting', 'record n', 'different kind', ""description ='"", 'building exteriors', 'construction', 'operator', 'equipment', 'structures', 'renting', 'renting', 'cranes']"
'Sale of motor vehicles',"['used passenger motor vehicles', ""description =' sale"", ""see 7710 '>"", 'class includes wholesale', 'trucks without driver', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'motor vehicles', 'class excludes', 'retail sale', 'retail sale', 'see 4923', 'see 4922', 'see 4530', 'record n', 'semi trailers', 'wholesale', 'trucks', 'driver', 'driver', 'trailers', 'trailers', 'renting', 'renting', 'renting', 'parts', 'new', 'lorries', 'lorries', 'accessories']"
'maintenance and repair of motor vehicles',"['motor vehicle seats ), tyre', 'electronic injection systems repair', ""see 2211 '>"", 'motor vehicle parts', ""description =' maintenance"", 'class includes maintenance', 'motor vehicles', 'motor vehicles', 'class excludes', 'rust treatment', 'record n', 'ordinary servicing', 'mechanical repairs', 'manufacturing process', 'electrical repairs', 'tube repair', 'bodywork repair', 'parts', 'repair', 'repair', 'repair', 'repair', 'repair', 'windows', 'washing', 'tyres', 'spraying', 'screens', 'retreading', 'replacement', 'rebuilding', 'polishing', 'part', 'painting', 'installation', 'fitting', 'etc', 'anti', 'accessories']"
'Sale of motor vehicle parts and accessories',"['class includes wholesale', ""motor vehicles '>"", ""description =' sale"", 'motor vehicle parts', 'motor vehicles', 'retail sale', 'record n', 'sale', 'parts', 'tools', 'supplies', 'kinds', 'components', 'combined', 'accessories', 'accessories']"
"'Sale, maintenance and repair of motorcycles and related parts and'","[""description =' sale"", ""see 9529 '>"", 'retail sale', 'see 7730', 'see 4763', 'see 4649', 'related parts', 'related parts', 'related parts', 'record n', 'class excludes', 'wholesale', 'repair', 'repair', 'renting', 'motorcycles', 'motorcycles', 'maintenance', 'maintenance', 'bicycles', 'bicycles', 'bicycles', 'accessories', 'accessories', 'accessories']"
